平均気温,最高気温,最低気温,降水量の合計,平均風速,最大風速,最多風向,最大瞬間風速,平均蒸気圧,平均湿度,最小相対湿度,平均現地気圧,平均海面気圧,最低海面気圧
22.4,23.6,20.3,0.0,2.8,5.0,北東,7.6,18.3,67,56,1013.9,1016.7,1015.2
18.2,21.3,14.9,6.5,2.8,5.3,北北東,9.8,16.2,78,63,1016.9,1019.8,1017.5
25.8,31.1,22.3,0.0,2.7,5.3,東北東,10.4,25.9,79,52,1006.5,1009.3,1004.7
18.4,23.0,16.2,0.0,2.8,5.2,東北東,9.4,16.7,80,53,1018.5,1021.4,1017.5
25.7,29.6,23.0,0.0,1.8,3.5,北北東,5.6,26.6,81,64,1015.6,1018.4,1016.7
29.9,35.6,25.4,0.5,2.4,5.4,北北西,10.4,30.7,74,51,1010.1,1012.8,1010.8
22.4,28.5,18.4,17.0,2.3,5.2,北北西,8.1,21.6,80,54,1015.6,1018.5,1014.1
22.1,25.1,19.5,0.0,2.1,4.1,北北西,6.4,21.5,80,73,1012.1,1014.9,1013.0
21.7,27.1,18.2,5.5,2.4,6.5,南南西,11.1,23.1,89,69,1007.1,1009.9,1005.5
15.4,17.2,14.2,65.0,3.6,6.3,北北西,13.2,16.2,93,74,1010.3,1013.2,1010.8
26.1,30.3,21.5,0.0,3.7,7.2,北西,13.3,19.4,58,36,1006.1,1008.9,1003.9
28.9,34.6,24.7,0.0,3.4,6.4,南南西,11.9,29.7,75,56,1003.7,1006.4,1005.2
29.0,36.2,24.5,119.0,5.6,15.4,西北西,31.4,31.1,79,45,1000.4,1003.1,979.9
20.8,25.1,17.0,0.0,3.5,6.7,北北西,13.4,11.9,50,26,1012.5,1015.3,1009.0
21.8,24.1,19.9,0.0,2.3,3.8,北北東,6.5,19.6,75,61,1018.4,1021.2,1019.6
25.8,28.5,22.6,1.5,2.6,4.9,北東,8.4,29.0,88,76,1014.0,1016.8,1015.7
22.8,27.3,19.7,0.0,2.4,5.9,北東,8.0,17.9,65,47,1014.5,1017.3,1015.3
24.5,28.3,20.6,0.0,3.9,7.6,南,14.2,22.4,74,45,1012.2,1015.0,1010.7
21.2,24.8,18.4,9.5,2.4,4.3,北北東,8.8,22.4,90,62,1008.7,1011.5,1008.3
22.9,25.3,21.4,28.5,2.2,4.4,北北西,8.7,27.7,99,89,1000.3,1003.1,1000.1
27.9,32.9,23.1,0.0,2.8,6.2,南南東,9.0,29.4,79,57,1013.7,1016.5,1014.7
20.5,23.3,18.7,5.5,3.1,5.8,北東,9.8,20.6,85,74,1015.3,1018.1,1012.6
16.5,19.5,14.9,5.5,2.5,4.3,北北東,8.0,17.1,91,74,1024.1,1027.0,1023.8
27.3,31.7,24.3,0.0,2.1,6.1,南南東,10.0,29.3,81,63,1008.7,1011.4,1009.0
25.6,28.1,23.2,7.0,4.4,8.1,南南西,15.0,29.7,91,76,1004.3,1007.1,1005.3
20.1,23.9,17.7,0.0,1.9,3.4,東北東,6.3,19.9,85,68,1014.2,1017.1,1013.3
17.0,20.2,15.4,5.0,3.0,5.4,北北西,9.5,16.9,88,46,1017.4,1020.3,1017.8
19.6,21.7,16.3,7.5,2.7,4.6,北北西,8.6,22.3,97,88,1011.1,1013.9,1010.3
